Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS
google free stickers,14,35,0.4000,1.8,google free stickers,7
google timbuk2 bag,14,44,0.3182,3.8,google timbuktu bag,7
magliette google,14,41,0.3415,1.0,google,7
maze pen,14,846,0.0165,3.7,maze pen,4
merchandise google,14,353,0.0397,1.0,merchandise google,7
merchandise store google,14,240,0.0583,1.0,merchandise store google,5
shop.google merchandise store,14,282,0.0496,1.0,shop google merchandise store,5
tshirt store,14,1620,0.0086,13.0,shirt store,2
youtube hoodies,14,251,0.0558,4.2,youtube hoodies,6
youtube stor,14,94,0.1489,3.0,youtube stor,6
android t shirts,13,98,0.1327,1.9,android shirt,2
google electronic,13,159,0.0818,1.8,google electronic,7
google logo shirt,13,56,0.2321,1.0,google logo shirt,2
google t shirts online,13,92,0.1413,1.7,google shirt online,7
google t シャツ,13,61,0.2131,1.1,google,7
how to get google t shirt free,13,156,0.0833,4.8,get google shirt free,2
men's google,13,202,0.0644,1.0,men google,7
youtube logo t shirt,13,287,0.0453,2.6,youtube logo shirt,2
youtube t shirt free,13,150,0.0867,3.3,youtube shirt free,6
youtuber t shirt,13,518,0.0251,5.0,youtube shirt,6
android coffee mug,12,42,0.2857,1.3,android mug,4
android hat,12,110,0.1091,2.1,android hat,4
autocollant google,12,31,0.3871,1.2,google,7
check us out on google,12,126,0.0952,3.8,check us google,7
google baseball cap,12,74,0.1622,1.0,google baseball cap,7
google io t shirt,12,133,0.0902,3.2,google io shirt,7
google mens,12,209,0.0574,1.0,google mens,7
google pay sticker,12,47,0.2553,2.9,google pay sticker,7
google pay stickers,12,111,0.1081,6.2,google pay stickers,7
google store accessories,12,205,0.0585,3.9,google store accessories,5
google シャツ,12,38,0.3158,2.2,google,7
google.t,12,15468,0.0008,4.7,google,7
hey google t-shirt,12,119,0.1008,1.0,hey google shirt,2
hoodie google,12,199,0.0603,1.0,hoodie google,7
koszulka google,12,118,0.1017,3.0,google,7
shop by brand,12,814,0.0147,12.0,shop brand,5
tensorflow merchandise,12,48,0.2500,4.5,tensor flow merchandise,4
youtube store london,12,368,0.0326,7.1,youtube store london,5
youtube sweatshirt merch,12,41,0.2927,1.0,youtube shirt merchandise,2
рюкзак google,12,66,0.1818,1.2,google,7
a+more bags,11,142,0.0775,2.9,bags,3
android backpack,11,94,0.1170,2.1,android backpack,4
apparel shop,11,1496,0.0074,6.7,apparel shop,5
google bookbag,11,40,0.2750,1.0,google bookbag,7
google clothes store,11,60,0.1833,1.0,google clothes store,5
google for mens,11,181,0.0608,1.9,google mens,7
google gift store,11,139,0.0791,11.0,google gift store,5
google laptop sticker,11,34,0.3235,1.3,google laptop sticker,7
google merchandise uk,11,112,0.0982,1.0,google merchandise uk,7
google water bottles,11,62,0.1774,1.0,google water bottles,3
google youtube,11,5814,0.0019,11.0,google youtube,7
google zipper,11,4631,0.0024,8.9,google zipper,7
ifam merch,11,502,0.0219,9.5,merchandise,4
rekt youtube merch,11,61,0.1803,4.3,youtube merchandise,6
shirt google,11,92,0.1196,1.0,shirt google,7
stickers store,11,706,0.0156,8.3,stickers store,5
android figurine,10,398,0.0251,9.2,android figurine,4
android shirts,10,91,0.1099,1.7,android shirt,2
depway return policy,10,104,0.0962,3.1,return policy,4
google android figures,10,70,0.1429,4.1,google android figures,7
google campus store,10,201,0.0498,1.6,google campus store,7
google developer t shirt india,10,65,0.1538,3.5,google developer shirt india,7
google hats for sale,10,53,0.1887,1.1,google hats sale,7
google intern backpack,10,75,0.1333,2.1,google intern backpack,7
google mouse,10,325,0.0308,8.1,google mouse,7
google polo shirts,10,49,0.2041,1.1,google polo shirt,2
google store california,10,64,0.1562,3.5,google store california,7
