Search Query,Clicks,Impressions,CTR,Average Position
youtube logo tshirt,4,46,0.0870,3.2
youtube merch backpack,4,14,0.2857,1.5
youtube merch websites,4,92,0.0435,7.4
youtube merchandise shop,4,18,0.2222,1.5
youtube play store,4,1404,0.0028,8.9
youtube 商品,4,39,0.1026,7.6
youtuber backpack merch,4,52,0.0769,2.9
youtuber shirt,4,261,0.0153,9.0
youtubers shop,4,138,0.0290,5.8
магазин ютуб,4,29,0.1379,11.0
यूट्यूब स्टोर,4,119,0.0336,5.3
/google+redesign/apparel/mens/mens+t+shirts,3,4,0.7500,1.0
android developer t shirt,3,77,0.0390,7.7
android robot toy,3,256,0.0117,8.9
apperal store,3,73,0.0411,3.6
backpack merchandise,3,31,0.0968,1.1
best in class youtube merch,3,69,0.0435,9.6
cap google,3,106,0.0283,3.6
depway returns,3,322,0.0093,7.9
goat hoodie google,3,64,0.0469,6.7
google accesories,3,142,0.0211,3.9
google accessoires,3,26,0.1154,9.2
google ahop,3,114,0.0263,8.3
google beanies,3,106,0.0283,1.4
google branded merchandise,3,77,0.0390,1.0
google cloth,3,92,0.0326,4.6
google clothing line,3,214,0.0140,1.0
google company store,3,138,0.0217,4.1
google drive t shirt,3,26,0.1154,5.6
google employee store,3,129,0.0233,2.3
google flashlight,3,170,0.0176,16.0
google g sticker,3,36,0.0833,7.6
google garments,3,87,0.0345,2.2
google gear store,3,57,0.0526,1.2
google headquarters store,3,44,0.0682,1.6
google logo t shirt india,3,8,0.3750,2.4
google maps shirt,3,44,0.0682,4.3
google marchandise store,3,118,0.0254,1.0
google memorabilia,3,26,0.1154,3.8
google merchandise store canada,3,25,0.1200,1.6
google merchandise store deutschland,3,44,0.0682,1.0
google mzp,3,91,0.0330,4.6
google online merchandise store,3,64,0.0469,1.0
google online store,3,193,0.0155,11.0
google paper notebook,3,11,0.2727,1.0
google power bank,3,84,0.0357,5.2
google shop store,3,67,0.0448,5.6
google store mountain view california,3,30,0.1000,3.2
google store palo alto,3,73,0.0411,4.3
google store youtube,3,188,0.0160,7.5
google t shirts free,3,30,0.1000,2.4
google t-shirt free,3,16,0.1875,2.9
google tote,3,30,0.1000,1.0
google zip,3,953,0.0031,8.4
google.cap,3,177,0.0169,1.1
googlemerchandisestore.html,3,20,0.1500,2.0
googleplex shop,3,48,0.0625,1.8
googleplex store hours,3,74,0.0405,3.4
hq merch store,3,239,0.0126,5.1
jacket youtube,3,101,0.0297,4.6
led stylus pen,3,117,0.0256,6.0
men google,3,130,0.0231,2.0
merchandise clothes,3,194,0.0155,5.7
merchandise kids,3,27,0.1111,3.6
merchandise t shirt,3,265,0.0113,8.8
merchandise t shirts,3,349,0.0086,16.0
more bags,3,188,0.0160,2.0
nest contact number canada,3,64,0.0469,8.5
ok google backpack,3,70,0.0429,1.5
ok google backpacks,3,70,0.0429,2.2
play store stickers,3,39,0.0769,6.2
play store youtube,3,899,0.0033,7.7
review us on google sticker free,3,98,0.0306,9.2
shipping information,3,342,0.0088,32.0
shop on youtube,3,97,0.0309,3.1
sketch youtube merch,3,144,0.0208,7.3
stiker google,3,41,0.0732,1.1
store google,3,1572,0.0019,12.0
t shirt merchandising,3,135,0.0222,8.2
tabbes merch,3,482,0.0062,8.9
tee shirt youtube,3,190,0.0158,3.5
toutube merch,3,8,0.3750,1.0
water bottle google,3,22,0.1364,1.0
you tuber merch,3,69,0.0435,9.1
youtube jacke,3,50,0.0600,6.5
youtube logo t shirt india,3,19,0.1579,3.6
youtube merche,3,21,0.1429,40.0
youtube metch,3,10,0.3000,1.3
youtube onesie,3,25,0.1200,9.0
youtube online shopping,3,84,0.0357,12.0
youtube or merch,3,21,0.1429,1.7
youtube print t shirt,3,76,0.0395,2.9
youtube shop italia,3,167,0.0180,3.2
youtube sweatshirts,3,55,0.0545,4.7
youtube स्टोर,3,284,0.0106,5.0
youtuber merch shops,3,67,0.0448,6.8
youtuber merch store,3,29,0.1034,2.8
youtuber t-shirt,3,100,0.0300,4.4
youtubers merch backpacks,3,70,0.0429,5.9
youtubers merch stores,3,87,0.0345,9.2
متجر اليوتيوب,3,8,0.3750,2.5
متجر يوتيوب,3,90,0.0333,5.0
7dog. com,2,28,0.0714,11.0
andriod toy,2,27,0.0741,6.0
android accessories store,2,64,0.0312,12.0
